lang,idx,role,agent_name,correct,prediction,gold,shape,final_step_last_layer_gold_logprob,final_step_last_layer_gold_rank,best_gold_rank,best_gold_logprob,emergence_step,latent_reasoning_score,rank_threshold,emergence_layer_strategy
bn,0,planner,Planner,False,5,18,4x37x2560,-9.48420238494873,729.0,8.0,-9.48420238494873,3,0.25,1000,final_layer
bn,0,critic,Critic,False,5,18,4x37x2560,-14.031720161437988,2114.0,8.0,-10.435707092285156,,0.0,1000,final_layer
bn,0,refiner,Refiner,False,5,18,4x37x2560,-29.750032424926758,33116.0,8.0,-8.789837837219238,,0.0,1000,final_layer
bn,0,judger,Judger,False,5,18,1x37x2560,-0.9760205149650574,1.0,1.0,-0.9760205149650574,0,1.0,1000,final_layer
bn,1,planner,Planner,True,3,3,4x37x2560,-12.560771942138672,1066.0,19.0,-10.574861526489258,,0.0,1000,final_layer
bn,1,critic,Critic,True,3,3,4x37x2560,-15.312297821044922,4589.0,19.0,-9.80313491821289,,0.0,1000,final_layer
bn,1,refiner,Refiner,True,3,3,4x37x2560,-31.261720657348633,92530.0,19.0,-8.814393997192383,,0.0,1000,final_layer
bn,1,judger,Judger,True,3,3,1x37x2560,-10.487485885620117,103.0,19.0,-10.170734405517578,0,1.0,1000,final_layer
bn,2,planner,Planner,True,70000,70000,4x37x2560,-11.935482025146484,138.0,49.0,-8.324576377868652,2,0.5,1000,final_layer
bn,2,critic,Critic,True,70000,70000,4x37x2560,-16.276790618896484,1417.0,49.0,-9.435820579528809,,0.0,1000,final_layer
bn,2,refiner,Refiner,True,70000,70000,4x37x2560,-25.75025749206543,9495.0,49.0,-9.551421165466309,,0.0,1000,final_layer
bn,2,judger,Judger,True,70000,70000,1x37x2560,-11.88994312286377,181.0,49.0,-9.3038330078125,0,1.0,1000,final_layer
bn,3,planner,Planner,False,180,540,4x37x2560,-9.506749153137207,79.0,38.0,-8.105568885803223,2,0.5,1000,final_layer
bn,3,critic,Critic,False,180,540,4x37x2560,-12.778708457946777,312.0,38.0,-8.450209617614746,3,0.25,1000,final_layer
bn,3,refiner,Refiner,False,180,540,4x37x2560,-28.5313663482666,83068.0,38.0,-9.829987525939941,,0.0,1000,final_layer
bn,3,judger,Judger,False,180,540,1x37x2560,-11.150985717773438,119.0,38.0,-10.512970924377441,0,1.0,1000,final_layer
bn,4,planner,Planner,False,60,20,4x37x2560,-12.50008773803711,3235.0,12.0,-10.983495712280273,,0.0,1000,final_layer
bn,4,critic,Critic,False,60,20,4x37x2560,-24.189943313598633,4448.0,12.0,-9.703765869140625,,0.0,1000,final_layer
bn,4,refiner,Refiner,False,60,20,4x37x2560,-26.2698974609375,68329.0,12.0,-8.445666313171387,,0.0,1000,final_layer
bn,4,judger,Judger,False,60,20,1x37x2560,-10.837321281433105,132.0,12.0,-10.569515228271484,0,1.0,1000,final_layer
bn,5,planner,Planner,True,64,64,4x37x2560,-9.287328720092773,551.0,42.0,-9.287328720092773,3,0.25,1000,final_layer
bn,5,critic,Critic,True,64,64,4x37x2560,-17.195207595825195,2855.0,42.0,-10.67098331451416,,0.0,1000,final_layer
bn,5,refiner,Refiner,True,64,64,4x37x2560,-27.728248596191406,99116.0,42.0,-10.566829681396484,,0.0,1000,final_layer
bn,5,judger,Judger,True,64,64,1x37x2560,-11.68660831451416,167.0,42.0,-10.709692001342773,0,1.0,1000,final_layer
bn,6,planner,Planner,False,3,260,4x37x2560,-9.137703895568848,539.0,12.0,-9.137703895568848,3,0.25,1000,final_layer
bn,6,critic,Critic,False,3,260,4x37x2560,-18.18937873840332,2189.0,12.0,-10.386270523071289,,0.0,1000,final_layer
bn,6,refiner,Refiner,False,3,260,4x37x2560,-26.60953712463379,63885.0,12.0,-9.628841400146484,,0.0,1000,final_layer
bn,6,judger,Judger,False,3,260,1x37x2560,-10.270889282226562,82.0,12.0,-10.270889282226562,0,1.0,1000,final_layer
bn,7,planner,Planner,False,40,160,4x37x2560,-14.638742446899414,175.0,8.0,-9.096299171447754,2,0.5,1000,final_layer
