lang,idx,role,agent_name,correct,prediction,gold,shape,final_step_last_layer_gold_logprob,final_step_last_layer_gold_rank,best_gold_rank,best_gold_logprob,emergence_step,latent_reasoning_score,rank_threshold,emergence_layer_strategy
bn,0,planner,Planner,False,5,18,4x37x2560,-8.585186004638672,305.0,8.0,-8.585186004638672,3,0.25,1000,final_layer
bn,0,critic,Critic,False,5,18,4x37x2560,-10.9638090133667,980.0,8.0,-10.165481567382812,3,0.25,1000,final_layer
bn,0,refiner,Refiner,False,5,18,4x37x2560,-10.023539543151855,1036.0,8.0,-10.023539543151855,,0.0,1000,final_layer
bn,0,judger,Judger,False,5,18,1x37x2560,-0.89554762840271,1.0,1.0,-0.89554762840271,0,1.0,1000,final_layer
bn,1,planner,Planner,True,3,3,4x37x2560,-11.402606964111328,626.0,19.0,-10.023616790771484,3,0.25,1000,final_layer
bn,1,critic,Critic,True,3,3,4x37x2560,-20.59562873840332,11123.0,19.0,-9.822244644165039,,0.0,1000,final_layer
bn,1,refiner,Refiner,True,3,3,4x37x2560,-17.28215789794922,13080.0,19.0,-10.848733901977539,,0.0,1000,final_layer
bn,1,judger,Judger,True,3,3,1x37x2560,-10.26558780670166,98.0,19.0,-10.159396171569824,0,1.0,1000,final_layer
bn,2,planner,Planner,False,2,70000,4x37x2560,-8.06666088104248,84.0,49.0,-8.06666088104248,2,0.5,1000,final_layer
bn,2,critic,Critic,False,2,70000,4x37x2560,-14.580355644226074,664.0,49.0,-9.127100944519043,3,0.25,1000,final_layer
bn,2,refiner,Refiner,False,2,70000,4x37x2560,-12.238213539123535,765.0,49.0,-9.624480247497559,3,0.25,1000,final_layer
bn,2,judger,Judger,False,2,70000,1x37x2560,-12.069219589233398,156.0,49.0,-9.34124755859375,0,1.0,1000,final_layer
bn,3,planner,Planner,False,180,540,4x37x2560,-9.629786491394043,91.0,38.0,-8.485989570617676,2,0.5,1000,final_layer
bn,3,critic,Critic,False,180,540,4x37x2560,-12.499427795410156,335.0,38.0,-8.758110046386719,3,0.25,1000,final_layer
