run,strength,status,lang,idx,correct_float,prediction,gold
mgsm_first50_latent_mas_baseline,0.0,final,bn,0,0.0,5,18
mgsm_first50_latent_mas_baseline,0.0,final,bn,1,1.0,3,3
mgsm_first50_latent_mas_baseline,0.0,final,bn,2,1.0,70000,70000
mgsm_first50_latent_mas_baseline,0.0,final,bn,3,0.0,180,540
mgsm_first50_latent_mas_baseline,0.0,final,bn,4,0.0,60,20
mgsm_first50_latent_mas_baseline,0.0,final,bn,5,1.0,64,64
mgsm_first50_latent_mas_baseline,0.0,final,bn,6,0.0,3,260
mgsm_first50_latent_mas_baseline,0.0,final,bn,7,0.0,40,160
mgsm_first50_latent_mas_baseline,0.0,final,bn,8,0.0,30,45
mgsm_first50_latent_mas_baseline,0.0,final,bn,9,0.0,3,460
mgsm_first50_latent_mas_baseline,0.0,final,bn,10,0.0,468,366
mgsm_first50_latent_mas_baseline,0.0,final,bn,11,0.0,6,694
mgsm_first50_latent_mas_baseline,0.0,final,bn,12,0.0,7.5,13
mgsm_first50_latent_mas_baseline,0.0,final,bn,13,0.0,3,18
mgsm_first50_latent_mas_baseline,0.0,final,bn,14,0.0,11,60
mgsm_first50_latent_mas_baseline,0.0,final,bn,15,1.0,125,125
mgsm_first50_latent_mas_baseline,0.0,final,bn,16,1.0,230,230
mgsm_first50_latent_mas_baseline,0.0,final,bn,17,0.0,3,57500
mgsm_first50_latent_mas_baseline,0.0,final,bn,18,1.0,7,7
mgsm_first50_latent_mas_baseline,0.0,final,bn,19,0.0,1.5,6
mgsm_first50_latent_mas_baseline,0.0,final,bn,20,0.0,5,15
mgsm_first50_latent_mas_baseline,0.0,final,bn,21,1.0,14,14
mgsm_first50_latent_mas_baseline,0.0,final,bn,22,1.0,7,7
mgsm_first50_latent_mas_baseline,0.0,final,bn,23,1.0,8,8
mgsm_first50_latent_mas_baseline,0.0,final,bn,24,0.0,78,26
mgsm_first50_latent_mas_baseline,0.0,final,bn,25,0.0,4,2
mgsm_first50_latent_mas_baseline,0.0,final,bn,26,1.0,243,243
mgsm_first50_latent_mas_baseline,0.0,final,bn,27,0.0,60,16
mgsm_first50_latent_mas_baseline,0.0,final,bn,28,1.0,25,25
mgsm_first50_latent_mas_baseline,0.0,final,bn,29,0.0,7,104
mgsm_first50_latent_mas_baseline,0.0,final,bn,30,1.0,109,109
mgsm_first50_latent_mas_baseline,0.0,final,bn,31,1.0,80,80
mgsm_first50_latent_mas_baseline,0.0,final,bn,32,1.0,35,35
mgsm_first50_latent_mas_baseline,0.0,final,bn,33,0.0,40,70
mgsm_first50_latent_mas_baseline,0.0,final,bn,34,1.0,23,23
mgsm_first50_latent_mas_baseline,0.0,final,bn,35,1.0,9,9
mgsm_first50_latent_mas_baseline,0.0,final,bn,36,1.0,75,75
mgsm_first50_latent_mas_baseline,0.0,final,bn,37,0.0,0,2
mgsm_first50_latent_mas_baseline,0.0,final,bn,38,0.0,3,10
mgsm_first50_latent_mas_baseline,0.0,final,bn,39,0.0,2,18
mgsm_first50_latent_mas_baseline,0.0,final,bn,40,1.0,8,8
mgsm_first50_latent_mas_baseline,0.0,final,bn,41,0.0,2,200
mgsm_first50_latent_mas_baseline,0.0,final,bn,42,1.0,26,26
mgsm_first50_latent_mas_baseline,0.0,final,bn,43,1.0,48,48
mgsm_first50_latent_mas_baseline,0.0,final,bn,44,1.0,20,20
mgsm_first50_latent_mas_baseline,0.0,final,bn,45,1.0,104,104
mgsm_first50_latent_mas_baseline,0.0,final,bn,46,1.0,163,163
mgsm_first50_latent_mas_baseline,0.0,final,bn,47,0.0,600,800
mgsm_first50_latent_mas_baseline,0.0,final,bn,48,1.0,8,8
mgsm_first50_latent_mas_baseline,0.0,final,bn,49,1.0,30,30
mgsm_first50_latent_mas_baseline,0.0,final,de,0,1.0,18,18
mgsm_first50_latent_mas_baseline,0.0,final,de,1,1.0,3,3
mgsm_first50_latent_mas_baseline,0.0,final,de,2,1.0,70000,70000
mgsm_first50_latent_mas_baseline,0.0,final,de,3,1.0,540,540
mgsm_first50_latent_mas_baseline,0.0,final,de,4,1.0,20,20
mgsm_first50_latent_mas_baseline,0.0,final,de,5,0.0,50,64
mgsm_first50_latent_mas_baseline,0.0,final,de,6,1.0,260,260
mgsm_first50_latent_mas_baseline,0.0,final,de,7,0.0,120,160
mgsm_first50_latent_mas_baseline,0.0,final,de,8,0.0,135,45
mgsm_first50_latent_mas_baseline,0.0,final,de,9,0.0,11,460
mgsm_first50_latent_mas_baseline,0.0,final,de,10,1.0,366,366
mgsm_first50_latent_mas_baseline,0.0,final,de,11,1.0,694,694
mgsm_first50_latent_mas_baseline,0.0,final,de,12,0.0,12,13
mgsm_first50_latent_mas_baseline,0.0,final,de,13,0.0,2,18
mgsm_first50_latent_mas_baseline,0.0,final,de,14,1.0,60,60
mgsm_first50_latent_mas_baseline,0.0,final,de,15,1.0,125,125
mgsm_first50_latent_mas_baseline,0.0,final,de,16,1.0,230,230
mgsm_first50_latent_mas_baseline,0.0,final,de,17,1.0,57500,57500
mgsm_first50_latent_mas_baseline,0.0,final,de,18,1.0,7,7
mgsm_first50_latent_mas_baseline,0.0,final,de,19,1.0,6,6
mgsm_first50_latent_mas_baseline,0.0,final,de,20,1.0,15,15
mgsm_first50_latent_mas_baseline,0.0,final,de,21,1.0,14,14
mgsm_first50_latent_mas_baseline,0.0,final,de,22,1.0,7,7
mgsm_first50_latent_mas_baseline,0.0,final,de,23,1.0,8,8
mgsm_first50_latent_mas_baseline,0.0,final,de,24,1.0,26,26
mgsm_first50_latent_mas_baseline,0.0,final,de,25,1.0,2,2
mgsm_first50_latent_mas_baseline,0.0,final,de,26,1.0,243,243
mgsm_first50_latent_mas_baseline,0.0,final,de,27,1.0,16,16
mgsm_first50_latent_mas_baseline,0.0,final,de,28,1.0,25,25
mgsm_first50_latent_mas_baseline,0.0,final,de,29,1.0,104,104
mgsm_first50_latent_mas_baseline,0.0,final,de,30,1.0,109,109
mgsm_first50_latent_mas_baseline,0.0,final,de,31,1.0,80,80
mgsm_first50_latent_mas_baseline,0.0,final,de,32,1.0,35,35
mgsm_first50_latent_mas_baseline,0.0,final,de,33,1.0,70,70
mgsm_first50_latent_mas_baseline,0.0,final,de,34,1.0,23,23
mgsm_first50_latent_mas_baseline,0.0,final,de,35,1.0,9,9
mgsm_first50_latent_mas_baseline,0.0,final,de,36,1.0,75,75
mgsm_first50_latent_mas_baseline,0.0,final,de,37,0.0,0,2
mgsm_first50_latent_mas_baseline,0.0,final,de,38,1.0,10,10
mgsm_first50_latent_mas_baseline,0.0,final,de,39,1.0,18,18
mgsm_first50_latent_mas_baseline,0.0,final,de,40,1.0,8,8
mgsm_first50_latent_mas_baseline,0.0,final,de,41,1.0,200,200
mgsm_first50_latent_mas_baseline,0.0,final,de,42,1.0,26,26
mgsm_first50_latent_mas_baseline,0.0,final,de,43,0.0,240,48
mgsm_first50_latent_mas_baseline,0.0,final,de,44,1.0,20,20
mgsm_first50_latent_mas_baseline,0.0,final,de,45,1.0,104,104
mgsm_first50_latent_mas_baseline,0.0,final,de,46,1.0,163,163
mgsm_first50_latent_mas_baseline,0.0,final,de,47,1.0,800,800
mgsm_first50_latent_mas_baseline,0.0,final,de,48,1.0,8,8
mgsm_first50_latent_mas_baseline,0.0,final,de,49,1.0,30,30
mgsm_first50_latent_mas_baseline,0.0,final,en,0,1.0,18,18
mgsm_first50_latent_mas_baseline,0.0,final,en,1,1.0,3,3
mgsm_first50_latent_mas_baseline,0.0,final,en,2,1.0,70000,70000
mgsm_first50_latent_mas_baseline,0.0,final,en,3,1.0,540,540
mgsm_first50_latent_mas_baseline,0.0,final,en,4,1.0,20,20
mgsm_first50_latent_mas_baseline,0.0,final,en,5,1.0,64,64
mgsm_first50_latent_mas_baseline,0.0,final,en,6,1.0,260,260
mgsm_first50_latent_mas_baseline,0.0,final,en,7,1.0,160,160
mgsm_first50_latent_mas_baseline,0.0,final,en,8,1.0,45,45
mgsm_first50_latent_mas_baseline,0.0,final,en,9,1.0,460,460
mgsm_first50_latent_mas_baseline,0.0,final,en,10,1.0,366,366
mgsm_first50_latent_mas_baseline,0.0,final,en,11,1.0,694,694
mgsm_first50_latent_mas_baseline,0.0,final,en,12,0.0,12,13
mgsm_first50_latent_mas_baseline,0.0,final,en,13,1.0,18,18
mgsm_first50_latent_mas_baseline,0.0,final,en,14,1.0,60,60
mgsm_first50_latent_mas_baseline,0.0,final,en,15,1.0,125,125
mgsm_first50_latent_mas_baseline,0.0,final,en,16,1.0,230,230
mgsm_first50_latent_mas_baseline,0.0,final,en,17,1.0,57500,57500
mgsm_first50_latent_mas_baseline,0.0,final,en,18,1.0,7,7
mgsm_first50_latent_mas_baseline,0.0,final,en,19,1.0,6,6
mgsm_first50_latent_mas_baseline,0.0,final,en,20,1.0,15,15
mgsm_first50_latent_mas_baseline,0.0,final,en,21,1.0,14,14
mgsm_first50_latent_mas_baseline,0.0,final,en,22,1.0,7,7
mgsm_first50_latent_mas_baseline,0.0,final,en,23,1.0,8,8
mgsm_first50_latent_mas_baseline,0.0,final,en,24,0.0,26.00,26
mgsm_first50_latent_mas_baseline,0.0,final,en,25,1.0,2,2
mgsm_first50_latent_mas_baseline,0.0,final,en,26,1.0,243,243
mgsm_first50_latent_mas_baseline,0.0,final,en,27,1.0,16,16
mgsm_first50_latent_mas_baseline,0.0,final,en,28,1.0,25,25
mgsm_first50_latent_mas_baseline,0.0,final,en,29,1.0,104,104
mgsm_first50_latent_mas_baseline,0.0,final,en,30,1.0,109,109
mgsm_first50_latent_mas_baseline,0.0,final,en,31,1.0,80,80
mgsm_first50_latent_mas_baseline,0.0,final,en,32,1.0,35,35
mgsm_first50_latent_mas_baseline,0.0,final,en,33,1.0,70,70
mgsm_first50_latent_mas_baseline,0.0,final,en,34,1.0,23,23
mgsm_first50_latent_mas_baseline,0.0,final,en,35,1.0,9,9
mgsm_first50_latent_mas_baseline,0.0,final,en,36,1.0,75,75
mgsm_first50_latent_mas_baseline,0.0,final,en,37,1.0,2,2
mgsm_first50_latent_mas_baseline,0.0,final,en,38,1.0,10,10
mgsm_first50_latent_mas_baseline,0.0,final,en,39,1.0,18,18
mgsm_first50_latent_mas_baseline,0.0,final,en,40,1.0,8,8
mgsm_first50_latent_mas_baseline,0.0,final,en,41,1.0,200,200
mgsm_first50_latent_mas_baseline,0.0,final,en,42,1.0,26,26
mgsm_first50_latent_mas_baseline,0.0,final,en,43,1.0,48,48
mgsm_first50_latent_mas_baseline,0.0,final,en,44,1.0,20,20
mgsm_first50_latent_mas_baseline,0.0,final,en,45,1.0,104,104
mgsm_first50_latent_mas_baseline,0.0,final,en,46,1.0,163,163
mgsm_first50_latent_mas_baseline,0.0,final,en,47,1.0,800,800
mgsm_first50_latent_mas_baseline,0.0,final,en,48,1.0,8,8
mgsm_first50_latent_mas_baseline,0.0,final,en,49,1.0,30,30
mgsm_first50_latent_mas_baseline,0.0,final,es,0,1.0,18,18
mgsm_first50_latent_mas_baseline,0.0,final,es,1,1.0,3,3
mgsm_first50_latent_mas_baseline,0.0,final,es,2,0.0,120000,70000
mgsm_first50_latent_mas_baseline,0.0,final,es,3,1.0,540,540
mgsm_first50_latent_mas_baseline,0.0,final,es,4,1.0,20,20
mgsm_first50_latent_mas_baseline,0.0,final,es,5,1.0,64,64
mgsm_first50_latent_mas_baseline,0.0,final,es,6,1.0,260,260
mgsm_first50_latent_mas_baseline,0.0,final,es,7,0.0,120,160
mgsm_first50_latent_mas_baseline,0.0,final,es,8,1.0,45,45
mgsm_first50_latent_mas_baseline,0.0,final,es,9,1.0,460,460
mgsm_first50_latent_mas_baseline,0.0,final,es,10,1.0,366,366
mgsm_first50_latent_mas_baseline,0.0,final,es,11,1.0,694,694
mgsm_first50_latent_mas_baseline,0.0,final,es,12,0.0,12,13
mgsm_first50_latent_mas_baseline,0.0,final,es,13,1.0,18,18
mgsm_first50_latent_mas_baseline,0.0,final,es,14,1.0,60,60
mgsm_first50_latent_mas_baseline,0.0,final,es,15,1.0,125,125
mgsm_first50_latent_mas_baseline,0.0,final,es,16,1.0,230,230
mgsm_first50_latent_mas_baseline,0.0,final,es,17,1.0,57500,57500
mgsm_first50_latent_mas_baseline,0.0,final,es,18,1.0,7,7
mgsm_first50_latent_mas_baseline,0.0,final,es,19,1.0,6,6
mgsm_first50_latent_mas_baseline,0.0,final,es,20,1.0,15,15
mgsm_first50_latent_mas_baseline,0.0,final,es,21,1.0,14,14
mgsm_first50_latent_mas_baseline,0.0,final,es,22,1.0,7,7
mgsm_first50_latent_mas_baseline,0.0,final,es,23,1.0,8,8
mgsm_first50_latent_mas_baseline,0.0,final,es,24,1.0,26,26
mgsm_first50_latent_mas_baseline,0.0,final,es,25,1.0,2,2
mgsm_first50_latent_mas_baseline,0.0,final,es,26,1.0,243,243
mgsm_first50_latent_mas_baseline,0.0,final,es,27,1.0,16,16
mgsm_first50_latent_mas_baseline,0.0,final,es,28,1.0,25,25
mgsm_first50_latent_mas_baseline,0.0,final,es,29,1.0,104,104
mgsm_first50_latent_mas_baseline,0.0,final,es,30,1.0,109,109
mgsm_first50_latent_mas_baseline,0.0,final,es,31,1.0,80,80
mgsm_first50_latent_mas_baseline,0.0,final,es,32,1.0,35,35
mgsm_first50_latent_mas_baseline,0.0,final,es,33,1.0,70,70
mgsm_first50_latent_mas_baseline,0.0,final,es,34,1.0,23,23
mgsm_first50_latent_mas_baseline,0.0,final,es,35,1.0,9,9
mgsm_first50_latent_mas_baseline,0.0,final,es,36,1.0,75,75
